precautions;œrodki ostro¿noœci
health and safety;zdrowie bezpieczeñstwo
emphesise;podkreœliæ
manufacturing processes;procesy produkcyjne
casting;odlewanie
welding;spawanie
forbidden, not allowed, prohibited, banned;niedozwolone, zakazane
warning;ostrze¿enie
safety information;informacje o bezpieczeñstwie
obligatory, mandatory, compulsory;obowi¹zkowy
to breach a contract;z³amaæ umowê
to contravene the law ;naruszyæ prawo
stipulated by the law;prawnie ustalony
to comply with;stosowaæ siê do
to be obliged to do sth;byæ zobowi¹zanym do czegoœ
legislation;prawodawstwo, ustawodawstwo
conform to;dostosowaæ siê do
adhere to;przestrzegaæ
follow the legislation;przestrzegaæ przepisów, prawa
fumes;opary
hazard;niebezpieczeñstwo, ryzyko
hazardous;niebezpieczny
PPE (personal protective equipment);sprzêt ochronny
hard hat;kask
burnout;wypalenie (np. zawodowe)
shield;tarcza, oslona
agenda;plan, program spotkania
a chair/a chairman;osoba prowadz¹ca spotkanie
to chair a meeting;prowadziæ spotkanie
lead a meeting;prowadziæ spotkanie
irritant;dra¿ni¹cy
grain silo;silos na ziarno
exposed;nara¿ony
maintenance;prace konsweracyjne, utrzymanie
flammable;³atwopalny
confined spaces ;ciasne przestrzenie bez wentylacji
exposure to sth;wystawienie na coœ
brief;chwilowy
continuos;ci¹g³y
whirring machines;obracaj¹ce siê maszyny
safety regulations;przepisy bezpieczeñstwa
corrosive;Ÿr¹cy
strain;nadwyrê¿enie
fatigue, tiredness;zmêczenie
footrest;podnó¿ek
angle;k¹t
adjustable;mo¿liwy do dostosowania
awkward;niezrêczny, niekomfortowy
a raft;tratwa
stemming from;pochodz¹ca z
immense;niezmiernie, ogromnie
ergonomics;ergonomia
strain injury;uraz spowodowany przeci¹¿eniem
eye strain;przeci¹ci¹¿enie oczu
addiction;uzale¿nienie
RSI (repetitive strain injury);uraz wskutek powtarzaj¹cego siê przeci¹¿enia
sparks;iskry
detector;czujnik
sensor;czujnik
ignition;zap³on
asphyxiation hazards;zagro¿enie uduszeniem
machinery;maszyny
safety devices;urz¹dzenia bezpieczeñstwa
access ways;drogi dostêpu
guardrails;barierki
acid;kwas
grinder;m³ynek, rozcieracz
rash;wysypka
oxy-acetylene;acetylenowo-tlenowy
interior;wnêtrze
issue;problem
an opening;otwór
electrocution;pora¿enie pr¹dem
a mask;maska, maseczka
splash/splashing;plusk/rozbryzg
welding mask;maska do spawania
dust mask;maska przeciwpy³owa
respirator;respirator
safety harness;uprz¹¿ bezpieczeñstwa
overalls;kombinezon
goggles;gogle
gauntlets;rêkawice
analysis;analiza
prediction;prognoza, przewidywanie
external;zewnêtrzny
internal;wewnêtrzny
melt/molten;topiæ/stopiony
silicosis;krzemica (choroba spowodowana wdychaniem krzemionki_
get a fine;dostaæ grzywnê
penalty;kara
switchboard;panel kontrolny
transformer station;stacja transformatorowa
conductors;przewodnik elektryczny
restricted area;obszar zastrze¿ony, o ograniczonym dostêpie
supervisor;nadzorca, kierownik
lock-out procedure;procedura odciêcia, blokowania
crucial;kluczowy
essential;niezbêdny, kluczowy
preferable;preferowany
vital;niezbêdny, kluczowy
helideck;l¹dowisko dla helikopterów
regulations;przepisy, regulacje
obligations;obowi¹zki
workstation;stanowisko pracy
neutral position;neutralna pozycja
musculoskeletal;uk³ad miêœniowo szkieletowy
persistence;wytrwa³oœæ
tolerance;tolerancja
severe negative consequences;powa¿ne negatywne konsekwencje
withdrawal;odstawienie (np. narkotyków, leków)
relapse;nawrót, powrót (np. do na³ogu)
reinforce;wzmacniaæ
resemble;przypominaæ (np. kogoœ z wygl¹du)
enable;umo¿liwiaæ
blurred vision;rozmazany wzrok
impairment;upoœledzenie, niepe³nosprawnoœæ
neglect;zaniedbanie
reluctant;niechêtny
ill-at-ease;nieswojo (czuæ siê)
blind;niewidomy
motor-impaired;niepe³nosprawny ruchowo
screen magnifier;lupa ekranowa, narzêdzie do powiêkszania ekranu
Braille printer;drukarka brajlowska, do alfabetu brailla
adaptive switch;prze³¹cznik adaptacyjny
touch screen;ekran dotykowy
adapted keyboard;dostosowana klawiatura
on-screen keyboard;klawiatura ekranowa
voice recognition system;system rozpoznawania g³osu
screen-pointing device;urz¹dzenie do wskazywania ekranu
screen reader;czytnik ekranu
pneumatic switch (sip and puff);prze³¹cznik pneumatyczny
oblige;zobowi¹zaæ
speech synthesis;syntezator mowy
Braille embossers;drukarka brajlowska, wyt³aczarka 
Optical Character Recognition;optyczne rozpoznawanie znaków
expanded;rozszerzony
eyegaze;wzrok
visual alert;powiadomienie wizualne
vacuum;odkurzacz
drudgery;mordêga, znój, katorga
woefully;¿a³oœnie (np. patrzeæ)
meticulously;skrupulatnie
bemused;zdziwiony
quarter;æwieræ, æwiartka (np. roku)
recover;odzyskaæ, powróciæ
slightly;lekko, nieznacznie
steadily;stabilnie
peak;szczyt
increase;wzrost, zwiêkszaæ siê
decrease;spadek, zmniejszaæ siê
drop;spadek, spadaæ
revenue;dochód
continuously;ci¹gle
cylinder ;cylinder
chart/graph;wykres/diagram
pie/circle;ko³owy
bar;s³upek, s³upkowy
column;kolumna, kolumnowy
area;warstwowy (wykres)
line;liniowy (wykres)
rocket;poszybowaæ w górê, bardzo szybko wzrosn¹æ
soar;poszybowaæ w górê, podskoczyæ
